Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Kyun! Ho Gaya Na...,-2004,165 min,"Comedy, Drama, Romance",4.2,"1,724",Samir Karnik,Amitabh Bachchan,Vivek Oberoi,Aishwarya Rai Bachchan
Aradhana,-1969,169 min,"Drama, Musical, Romance",7.6,"1,722",Shakti Samanta,Rajesh Khanna,Sharmila Tagore,Sujit Kumar
Dil Hai Tumhaara,-2002,185 min,"Drama, Romance",5.3,"1,720",Kundan Shah,Arjun Rampal,Preity Zinta,Mahima Chaudhry
Dil Ne Jise Apna Kaha,-2004,135 min,"Drama, Romance",4.4,"1,716",Atul Agnihotri,Salman Khan,Preity Zinta,Bhoomika Chawla
Do Ankhen Barah Haath,-1957,143 min,"Comedy, Crime, Drama",8.4,"1,710",Shantaram Rajaram Vankudre,Shantaram Rajaram Vankudre,Sandhya,Ulhas
"Good Boy, Bad Boy",-2007,115 min,"Comedy, Musical",3.8,"1,710",Ashwini Chaudhary,Tusshar Kapoor,Emraan Hashmi,Isha Sharvani
The Elder One,-2019,125 min,"Action, Crime, Drama",7.5,"1,707",Geethu Mohandas,Nivin Pauly,Shashank Arora,Sanjana Dipu
Jaanam Samjha Karo,-1999,153 min,"Drama, Romance",4.8,"1,705",Andaleeb Sultanpuri,Salman Khan,Urmila Matondkar,Jaspal Bhatti
Ek Paheli Leela,-2015,145 min,"Mystery, Romance, Thriller",3.7,"1,700",Bobby Khan,Sunny Leone,Rahul Dev,Mohit Ahlawat
Waiting,-2015,92 min,"Comedy, Drama",7.2,"1,699",Anu Menon,Naseeruddin Shah,Kalki Koechlin,Jennifer Antony
Rajma Chawal,-2018,117 min,"Comedy, Drama, Family",5.8,"1,698",Leena Yadav,Amyra Dastur,Rishi Kapoor,Sheeba Chaddha
Gumnaami,-2019,142 min,"Action, Drama, History",7.8,"1,695",Srijit Mukherji,Prasenjit Chatterjee,Anirban Bhattacharya,Tanushree Chakraborty
Hawaa Hawaai,-2014,120 min,"Drama, Family, Sport",7.4,"1,686",Amole Gupte,Makrand Deshpande,Partho A. Gupte,Devraya Gole
Sixteen,-2013,138 min,"Drama, Romance, Thriller",6.3,"1,680",Raj Purohit,Wamiqa Gabbi,Izabelle Leite,Mehak Manwani
Revolver Rani,-2014,132 min,"Action, Comedy, Crime",4.5,"1,678",Sai Kabir,Kangana Ranaut,Vir Das,Zakir Hussain
Yaarana,-1981,138 min,"Action, Comedy, Drama",7.1,"1,676",Rakesh Kumar,Amitabh Bachchan,Neetu Singh,Tanuja
Pailwaan,-2019,166 min,"Action, Drama, Sport",6.4,"1,671",S Krishna,Sunil Shetty,Sudeep,Sushant Singh
Comedy Couple,-2020,117 min,"Comedy, Romance",7.7,"1,662",Nachiket Samant,Saqib Saleem,Shweta Basu Prasad,Pooja Bedi
Aashiqui,-1990,152 min,"Musical, Drama, Romance",6.3,"1,661",Mahesh Bhatt,Rahul Roy,Anu Agrawal,Avtar Gill
Hisss,-2010,98 min,"Comedy, Drama, Horror",2.9,"1,661",Jennifer Lynch,Mallika Sherawat,Irrfan Khan,Jeff Doucette
Paathshaala,-2010,122 min,"Drama, Family",4.9,"1,660",Milind Ukey,Adil Feroz Khan,Nana Patekar,Shahid Kapoor
"Road, Movie",-2009,95 min,"Adventure, Comedy, Crime",6.8,"1,660",Dev Benegal,Abhay Deol,Satish Kaushik,Tannishtha Chatterjee
Junglee,-2019,115 min,"Action, Adventure, Thriller",5.6,"1,658",Chuck Russell,Vidyut Jammwal,Lars Kjeldsen,Asha Bhat
Chandni,-1989,186 min,"Drama, Musical, Romance",6.8,"1,657",Yash Chopra,Sridevi,Rishi Kapoor,Vinod Khanna
London Confidental,-2020,77 min,"Crime, Drama, Thriller",6.4,"1,653",Kanwal Sethi,Mouni Roy,Purab Kohli,Kiren Jogi
Anaarkali of Aarah,-2017,113 min,Drama,5.9,"1,636",Avinash Das,Pankaj Tripathi,Swara Bhaskar,Sanjay Mishra
Yeh Lamhe Judaai Ke,-2004,135 min,"Drama, Mystery, Romance",3.7,"1,636",Pavan Kaul,Birendra Nath Tiwari,Shah Rukh Khan,Raveena Tandon
Thamizhan,-2002,162 min,"Action, Drama",5.7,"1,633",A. Majid,Joseph Vijay,Priyanka Chopra Jonas,Nassar
Delhi Safari,-2012,96 min,"Animation, Adventure, Comedy",5.6,"1,631",Nikkhil Advani,Govinda,Akshaye Khanna,Urmila Matondkar
Aks,-2001,184 min,"Action, Crime, Horror",5.8,"1,627",Rakeysh Omprakash Mehra,Amitabh Bachchan,Raveena Tandon,Manoj Bajpayee
Leera the Soulmate,-2018,104 min,Sci-Fi,6.3,"1,624",Sumnash Sri Kaljai,Mehul Adwani,Leera Kaljai,
Alone,-2015,133 min,Horror,3.7,"1,622",Bhushan Patel,Bipasha Basu,Karan Singh Grover,Sulabha Arya
Nishabd,-2007,110 min,Drama,5.4,"1,622",Ram Gopal Varma,Amitabh Bachchan,Jiah Khan,Revathi
Aa Ab Laut Chalen,-1999,177 min,"Musical, Romance, Drama",5.5,"1,621",Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
Khubsoorat,-1980,126 min,"Comedy, Drama, Family",7.6,"1,621",Hrishikesh Mukherjee,Ashok Kumar,Rekha,Rakesh Roshan
Joy: The Real Love Story,-2007,127 min,"Drama, Romance, Thriller",2.1,"1,619",Prashant Chadha,Himesh Reshammiya,Hansika Motwani,Mallika Sherawat
Dil Ka Rishta,-2003,150 min,"Drama, Musical, Romance",4.8,"1,615",Naresh Malhotra,Arjun Rampal,Aishwarya Rai Bachchan,Priyanshu Chatterjee
Army,-1996,153 min,"Action, Drama",4.3,"1,614",Raam Shetty,Sridevi,Shah Rukh Khan,Harish
Sangam,-1964,238 min,"Drama, Musical, Romance",7.5,"1,611",Raj Kapoor,Raj Kapoor,Rajendra Kumar,Vyjayanthimala
Desamuduru,-2007,148 min,"Action, Drama, Romance",6.2,"1,608",Puri Jagannadh,Allu Arjun,Hansika Motwani,Pradeep Singh Rawat
The Xpose,-2014,113 min,"Mystery, Thriller",3.3,"1,608",Ananth Narayan Mahadevan,Himesh Reshammiya,Yo Yo Honey Singh,Irrfan Khan
Mard,-1985,177 min,"Action, Drama, Romance",6.2,"1,604",Manmohan Desai,Amitabh Bachchan,Amrita Singh,Nirupa Roy
Ek Ajnabee,-2005,142 min,"Action, Crime, Drama",5.2,"1,601",Apoorva Lakhia,Amitabh Bachchan,Arjun Rampal,Perizaad Zorabian
Mohalla Assi,-2015,150 min,"Comedy, Drama",6.8,"1,601",Chandra Prakash Dwivedi,Sunny Deol,Sakshi Tanwar,Ravi Kishan
Ardh Satya,-1983,130 min,"Crime, Drama",8.2,"1,599",Govind Nihalani,Om Puri,Smita Patil,Amrish Puri
Dum,-2003,166 min,"Action, Crime, Drama",5.6,"1,597",Eeshwar Nivas,Vivek Oberoi,Dia Mirza,Atul Kulkarni
"Gandhi, My Father",-2007,136 min,"Biography, Drama, History",7.3,"1,594",Feroz Abbas Khan,Akshaye Khanna,Darshan Jariwala,Shefali Shah
Amar Prem,-1972,143 min,"Drama, Musical, Romance",8.2,"1,592",Shakti Samanta,Rajesh Khanna,Sharmila Tagore,Sujit Kumar
Sold,-2014,94 min,Drama,6.9,"1,589",Jeffrey D. Brown,Gillian Anderson,David Arquette,Priyanka Bose
Main Aur Charles,-2015,119 min,"Action, Biography, Crime",6.3,"1,588",Prawaal Raman,Adil Hussain,Alexx O'Nell,Anastasia Fullfina
American Desi,-2001,100 min,"Comedy, Drama, Romance",6.6,"1,585",Piyush Dinker Pandya,Deep Katdare,Ronobir Lahiri,Purva Bedi
Bond of Love,-2001,174 min,"Drama, Family",5.1,"1,584",Suneel Darshan,Amitabh Bachchan,Rakhee Gulzar,Akshay Kumar
Oh Darling Yeh Hai India,-1995,160 min,Comedy,4.2,"1,582",Ketan Mehta,Shah Rukh Khan,Deepa Sahi,Javed Jaffrey
Chameli Ki Shaadi,-1986,136 min,"Comedy, Drama, Romance",7.5,"1,580",Basu Chatterjee,Anil Kapoor,Amrita Singh,Om Prakash
Naseeb,-1981,197 min,"Action, Musical, Romance",7.1,"1,572",Manmohan Desai,Amitabh Bachchan,Shatrughan Sinha,Rishi Kapoor
Love Sonia,-2018,122 min,Drama,7.4,"1,570",Tabrez Noorani,Abhishek Bharate,Riya Sisodiya,Mrunal Thakur
Aashiq Banaya Aapne: Love Takes Over,-2005,115 min,"Drama, Romance, Thriller",4.3,"1,569",Aditya Datt,Emraan Hashmi,Tanushree Dutta,Sonu Sood
Love Ke Liye Kuch Bhi Karega,-2001,131 min,"Comedy, Crime, Romance",6,"1,567",Eeshwar Nivas,Saif Ali Khan,Fardeen Khan,Aftab Shivdasani
Khushi,-2003,161 min,"Action, Comedy, Drama",4.4,"1,565",S.J. Suryah,Sunil Kumar Agrawal,Fardeen Khan,Kareena Kapoor
Hum Aapke Dil Mein Rehte Hain,-1999,168 min,"Drama, Romance",5.7,"1,564",Satish Kaushik,Anil Kapoor,Kajol,Anupam Kher
Namak Haraam,-1973,146 min,Drama,7.3,"1,564",Hrishikesh Mukherjee,Rajesh Khanna,Amitabh Bachchan,Simi Garewal
1920 London,-2016,120 min,"Horror, Mystery",4.1,"1,559",Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
Diljale,-1996,159 min,"Action, Drama, Romance",5.8,"1,559",Harry Baweja,Ajay Devgn,Sonali Bendre,Amrish Puri
Chittagong,-2012,105 min,"Action, Drama, War",7.3,"1,558",Bedabrata Pain,Manoj Bajpayee,Barry John,Delzad Hiwale
Sahib Bibi Aur Ghulam,-1962,152 min,"Drama, Musical",8.3,"1,557",Abrar Alvi,Meena Kumari,Guru Dutt,Rehman
Dus Kahaniyaan,-2007,110 min,Drama,5.7,"1,556",Meghna Gulzar,Sanjay Gupta,Apoorva Lakhia,Hansal Mehta
Tigers,-2014,94 min,Drama,7.3,"1,553",Danis Tanovic,Emraan Hashmi,Geetanjali Thapa,Danny Huston
Dosti,-1964,163 min,"Drama, Family, Musical",8.4,"1,552",Satyen Bose,Sudhir Kumar,Sushil Kumar,Sanjay Khan
Ziddi,-1997,170 min,"Action, Drama",5.8,"1,551",Guddu Dhanoa,Sunny Deol,Raveena Tandon,Anupam Kher
The Power,-2021,154 min,"Action, Crime, Drama",5.7,"1,544",Mahesh Manjrekar,Vidyut Jammwal,Shruti Haasan,Salil Ankola
Traffic Signal,-2007,130 min,Drama,6.5,"1,544",Madhur Bhandarkar,Kunal Khemu,Neetu Chandra,Upendra Limaye
Dil Aashna Hai (...The Heart Knows),-1992,164 min,"Drama, Romance",5,"1,536",Hema Malini,Jeetendra,Mithun Chakraborty,Dimple Kapadia
Arjun: The Warrior Prince,-2012,96 min,"Animation, Action, Adventure",6.8,"1,534",Arnab Chaudhuri,Pavan Buragohain,K.K. Raina,Yudhveer Bakoliya
Bamfaad,-2020,102 min,Romance,7.2,"1,533",Ranjan Chandel,Aditya Rawal,Shalini Pandey,Vijay Varma
Veergati,-1995,166 min,"Action, Drama",5.7,"1,533",K.K. Singh,Salman Khan,Atul Agnihotri,Sudesh Berry
Tum Mile,-2009,140 min,"Drama, Romance",5,"1,530",Kunal Deshmukh,Emraan Hashmi,Soha Ali Khan,Prerna Chawla
Koshish,-1972,125 min,Drama,8.6,"1,523",Gulzar,Sanjeev Kumar,Jaya Bachchan,Asrani
Lakshmi,-2014,115 min,Drama,7.9,"1,520",Nagesh Kukunoor,Monali Thakur,Vibha Chhibber,Ranjeet Jha
Chalti Ka Naam Gaadi,-1958,173 min,"Comedy, Musical, Romance",8,"1,514",Satyen Bose,Ashok Kumar,Madhubala,Anoop Kumar
All Is Well,-2015,126 min,"Comedy, Drama, Romance",3.8,"1,513",Umesh Shukla,Rishi Kapoor,Abhishek Bachchan,Asin Thottumkal
Zubeidaa,-2001,153 min,"Biography, Drama, History",6.2,"1,496",Shyam Benegal,Karisma Kapoor,Rekha,Manoj Bajpayee
Ab Tumhare Hawale Watan Saathiyo,-2004,193 min,"Action, Drama, War",4.6,"1,494",Anil Sharma,Sanjay Sharma,Amitabh Bachchan,Akshay Kumar
Ahista Ahista,-2006,122 min,"Drama, Romance",7,"1,491",Shivam Nair,Abhay Deol,Soha Ali Khan,Shayan Munshi
Chaalbaaz,-1989,155 min,"Action, Comedy, Drama",6.8,"1,489",Pankaj Parashar,Sridevi,Sunny Deol,Rajinikanth
House Arrest,-2019,104 min,Comedy,5.5,"1,486",Samit Basu,Shashanka Ghosh,Ali Fazal,Shriya Pilgaonkar
Waqt Hamara Hai,-1993,148 min,"Action, Comedy, Romance",6,"1,478",Bharat Rangachary,Akshay Kumar,Sunil Shetty,Ayesha Jhulka
Neal 'n' Nikki,-2005,122 min,"Comedy, Musical, Romance",3.2,"1,476",Arjun Sablok,Uday Chopra,Tanishaa Mukerji,Abhishek Bachchan
Hate Story IV,-2018,131 min,"Crime, Drama, Thriller",3.3,"1,470",Vishal Pandya,Urvashi Rautela,Gulshan Grover,Ihana Dhillon
Zameen,-2003,154 min,"Action, Adventure, Thriller",5.3,"1,468",Rohit Shetty,Ajay Devgn,Abhishek Bachchan,Bipasha Basu
You Are My Sunday,-2016,119 min,"Comedy, Drama",7.8,"1,459",Milind Dhaimade,Barun Sobti,Shahana Goswami,Avinash Tiwary
Teen Patti,-2010,140 min,"Crime, Drama, Thriller",4.1,"1,457",Leena Yadav,Amitabh Bachchan,Madhavan,Shraddha Kapoor
Gumnaam,-1965,151 min,"Drama, Mystery, Thriller",7,"1,456",Raja Nawathe,Nanda,Manoj Kumar,Pran
Indu Sarkar,-2017,139 min,"Drama, Thriller",6,"1,446",Madhur Bhandarkar,Kirti Kulhari,Tota Roy Chowdhury,Neil Nitin Mukesh
Poster Boys,-2017,128 min,Comedy,5.4,"1,446",Shreyas Talpade,Sunny Deol,Bobby Deol,Shreyas Talpade
Aarzoo,-1999,175 min,"Drama, Romance",5.4,"1,445",Lawrence D'Souza,Madhuri Dixit,Akshay Kumar,Saif Ali Khan
The Burning Train,-1980,142 min,"Action, Thriller",6.8,"1,442",Ravi Chopra,Dharmendra,Vinod Khanna,Jeetendra
Halahal,-2020,97 min,"Crime, Drama, Mystery",7.1,"1,441",Randeep Jha,Barun Sobti,Sachin Khedekar,Manu Rishi Chadha
Luv Ka the End,-2011,106 min,"Comedy, Drama",4.8,"1,434",Bumpy,Shraddha Kapoor,Taha Shah Badussha,Errol Peter Marks
Noor,-2017,117 min,"Adventure, Comedy, Drama",3.9,"1,432",Sunhil Sippy,Sunny Leone,Sonakshi Sinha,Chloé Booyens
China Gate,-1998,175 min,"Action, Adventure, Drama",6.6,"1,430",Rajkumar Santoshi,Om Puri,Naseeruddin Shah,Danny Denzongpa
Kachche Dhaage,-1999,144 min,"Action, Drama, Thriller",6,"1,428",Milan Luthria,Ajay Devgn,Saif Ali Khan,Manisha Koirala
Only You,-1999,150 min,"Romance, Drama",6.1,"1,426",Ahathian,Sanjay Kapoor,Priya Gill,Sushmita Sen
Little Baby,-2019,105 min,Family,8.6,"1,417",Shekhar S. Jha,Priyanshu Chatterjee,Gulnaz Siganporia,Aadi
Kaalia,-1981,157 min,"Action, Drama",6.8,"1,412",Tinnu Anand,Amitabh Bachchan,Asha Parekh,Parveen Babi
Do Lafzon Ki Kahani,-2016,128 min,"Action, Drama, Romance",6.5,"1,411",Deepak Tijori,Kajal Aggarwal,Anil George,Randeep Hooda
Talaash: The Hunt Begins...,-2003,153 min,"Action, Drama, Mystery",4.7,"1,411",Suneel Darshan,Rakhee Gulzar,Akshay Kumar,Kareena Kapoor
Aandhi,-1975,133 min,"Drama, Romance",8.1,"1,406",Gulzar,Suchitra Sen,Sanjeev Kumar,Om Shivpuri
Let's Bring Our Heroes Home,-2004,163 min,"Action, Drama, Thriller",6.1,"1,404",Milan Luthria,Amitabh Bachchan,Sanjay Dutt,Akshaye Khanna
Fight Club: Members Only,-2006,140 min,"Action, Crime",3.3,"1,403",Abhay Chopra,Vikram Chopra,Sunil Shetty,Sohail Khan
Budhia Singh: Born to Run,-2016,112 min,"Biography, Drama, Sport",7.6,"1,393",Soumendra Padhi,Manoj Bajpayee,Mayur Mahendra Patole,Gajraj Rao
Permission,-1987,137 min,"Drama, Musical, Romance",8.3,"1,391",Gulzar,Rekha,Naseeruddin Shah,Anuradha Patel
Baaghi: A Rebel for Love,-1990,157 min,"Action, Drama, Romance",5.7,"1,390",Deepak S. Shivdasani,Salman Khan,Nagma,Shakti Kapoor
Madam Chief Minister,-2021,130 min,Drama,4.6,"1,383",Subhash Kapoor,Richa Chadha,Manav Kaul,Saurabh Shukla
Kadakh,-2019,108 min,"Comedy, Drama, Thriller",7,"1,381",Rajat Kapoor,Ranvir Shorey,Mansi Multani,Palomi Ghosh
Parzania,-2005,116 min,"Drama, History",7.6,"1,379",Rahul Dholakia,Naseeruddin Shah,Corin Nemec,Sarika
Policegiri,-2013,141 min,"Action, Comedy, Crime",4.1,"1,374",K.S. Ravikumar,Sanjay Dutt,Prachi Desai,Prakash Raj
Naqaab,-2007,115 min,"Crime, Drama, Romance",5.4,"1,373",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Bobby Deol,Akshaye Khanna
Secrets of Sinauli,-2021,56 min,"Documentary, History",9.3,"1,373",Raghav Jairath,Manoj Bajpayee,R.S. Bhist,K.N. Dixit
Boom,-2003,100 min,"Crime, Thriller",2.3,"1,361",Kaizad Gustad,Amitabh Bachchan,Jackie Shroff,Gulshan Grover
Tottaa Pataaka Item Maal,-2019,107 min,Drama,7.6,"1,361",Aditya Kripalani,Ahmareen Anjum,Chitrangada Chakraborty,Sonal Joshi
Shabd,-2005,140 min,"Drama, Thriller",5.1,"1,359",Leena Yadav,Sanjay Dutt,Aishwarya Rai Bachchan,Zayed Khan
Roadside Romeo,-2008,93 min,"Animation, Adventure, Comedy",5.2,"1,353",Jugal Hansraj,Saif Ali Khan,Kareena Kapoor,Javed Jaffrey
Rockford,-1999,102 min,"Comedy, Drama",7.4,"1,352",Nagesh Kukunoor,Rohan Dey,Jayant Kripalani,Nandita Das
Hum Kisi Se Kum Nahin,-2002,161 min,"Action, Comedy, Drama",4.4,"1,351",David Dhawan,Amitabh Bachchan,Sanjay Dutt,Asad Aleem
Phool Aur Kaante,-1991,173 min,"Action, Drama, Romance",5.8,"1,348",Kuku Kohli,Ajay Devgn,Madhoo,Arif Khan
Sadda Adda,-2012,130 min,"Comedy, Drama, Romance",7.1,"1,345",Muazzam Beg,Karan Sharma,Karanvir Sharma,Shaurya Chauhan
Ab Tak Chhappan 2,-2015,106 min,"Action, Crime, Thriller",5.8,"1,344",Ejaz Gulab,Nana Patekar,Mohan Agashe,Gul Panag
Saajan Chale Sasural,-1996,134 min,"Comedy, Drama",6,"1,344",David Dhawan,Govinda,Karisma Kapoor,Tabu
Poorna,-2017,100 min,"Action, Adventure, Biography",7.8,"1,343",Rahul Bose,Prashant Pandey,Aditi Inamdar,Rahul Bose
Doordarshan,-2020,119 min,"Comedy, Drama",6.2,"1,336",Gagan Puri,Manu Rishi Chadha,Mahie Gill,Dolly Ahluwalia
Dev,-2004,172 min,Drama,6.9,"1,332",Govind Nihalani,Amitabh Bachchan,Om Puri,Fardeen Khan
Ek Doctor Ki Maut,-1990,122 min,"Biography, Drama",8.3,"1,330",Tapan Sinha,Shabana Azmi,Pankaj Kapur,Irrfan Khan
Kisna: The Warrior Poet,-2005,171 min,"Drama, Musical, Romance",4.5,"1,329",Subhash Ghai,Vivek Oberoi,Isha Sharvani,Antonia Bernath
Mr. Natwarlal,-1979,148 min,"Action, Comedy, Romance",6.6,"1,328",Rakesh Kumar,Amitabh Bachchan,Rekha,Ajit
Umrika,-2015,98 min,"Comedy, Drama",6.6,"1,328",Prashant Nair,Aashish Bhatt,Uplaksh Kochhar,Megh Pant
Karam,-2005,117 min,"Action, Crime, Drama",5.5,"1,324",Sanjay F. Gupta,John Abraham,Priyanka Chopra Jonas,Bharat Dabholkar
Shimla Mirchi,-2020,129 min,"Comedy, Romance",4.6,"1,322",Ramesh Sippy,Hema Malini,Rajkummar Rao,Rakul Preet Singh
Jabariya Jodi,-2019,125 min,"Action, Comedy, Drama",4.4,"1,317",Prashant Singh,Sidharth Malhotra,Parineeti Chopra,Javed Jaffrey
Maska,-2020,111 min,"Comedy, Drama, Romance",5.8,"1,317",Neeraj Udhwani,Prit Kamani,Manisha Koirala,Shirley Setia
Dhaai Akshar Prem Ke,-2000,167 min,"Drama, Romance",3.7,"1,313",Raj Kanwar,Abhishek Bachchan,Aishwarya Rai Bachchan,Amrish Puri
Arth,-1982,138 min,"Drama, Romance",7.9,"1,308",Mahesh Bhatt,Shabana Azmi,Kulbhushan Kharbanda,Smita Patil
Creature,-2014,134 min,"Action, Horror, Sci-Fi",3.1,"1,308",Vikram Bhatt,Bipasha Basu,Imran Abbas,Mukul Dev
Tu Chor Main Sipahi,-1996,153 min,"Action, Comedy, Drama",5.2,"1,307",Guddu Dhanoa,Akshay Kumar,Saif Ali Khan,Tabu
Woh lamhe...,-2006,156 min,"Biography, Drama, Romance",6.4,"1,307",Mohit Suri,Kangana Ranaut,Shiney Ahuja,Shaad Randhawa
Bheja Fry 2,-2011,129 min,"Comedy, Drama",4.7,"1,302",Sagar Ballary,Vinay Pathak,Kay Kay Menon,Minissha Lamba
Zila Ghaziabad,-2013,142 min,"Action, Crime, Thriller",3.6,"1,301",Kumar Anand,Kushagra Anand,Vivek Oberoi,Usman Rao
Always Kabhi Kabhi,-2011,126 min,"Comedy, Crime, Drama",4,"1,295",Roshan Abbas,Lillete Dubey,Satyajeet Dubey,Ali Fazal
Insan,-2005,141 min,"Action, Crime, Drama",4.6,"1,295",K. Subhash,Akshay Kumar,Ajay Devgn,Tusshar Kapoor
Run,-2004,137 min,"Action, Comedy, Drama",4.8,"1,292",Jeeva,Abhishek Bachchan,Bhoomika Chawla,Mahesh Manjrekar
Disco Dancer,-1982,135 min,"Drama, Musical, Romance",6.4,"1,291",Babbar Subhash,Mithun Chakraborty,Kim,Kalpana Iyer
Bade Dilwala,-1999,146 min,"Comedy, Drama, Romance",3.6,"1,289",Shakeel Noorani,Sunil Shetty,Priya Gill,Paresh Rawal
Ghost,-2019,130 min,"Horror, Thriller",5,"1,288",Vikram Bhatt,Sanaya Irani,Shivam Bhaargava,Vikram Bhatt
Vodka Diaries,-2018,120 min,"Mystery, Thriller",5.6,"1,287",Kushal Srivastava,Kay Kay Menon,Raima Sen,Mandira Bedi
Irada,-2017,109 min,"Drama, Mystery, Thriller",6.3,"1,284",Aparnaa Singh,Naseeruddin Shah,Arshad Warsi,Divya Dutta
Aakhree Raasta,-1986,164 min,"Action, Crime, Drama",7.1,"1,283",Bhagyaraj,Amitabh Bachchan,Sridevi,Jaya Prada
Badal,-2000,166 min,"Action, Crime, Drama",4.9,"1,281",Raj Kanwar,Bobby Deol,Rani Mukerji,Ashutosh Rana
Saudagar,-1991,213 min,"Action, Drama, Romance",6.8,"1,279",Subhash Ghai,Dilip Kumar,Raaj Kumar,Vivek Mushran
Haan Maine Bhi Pyaar Kiya,-2002,174 min,"Drama, Musical, Romance",3.7,"1,277",Dharmesh Darshan,Akshay Kumar,Karisma Kapoor,Abhishek Bachchan
Madhumati,-1958,110 min,"Fantasy, Musical, Mystery",8,"1,273",Bimal Roy,Dilip Kumar,Vyjayanthimala,Johnny Walker
Mili,-1975,150 min,"Drama, Romance, Family",7.5,"1,272",Hrishikesh Mukherjee,Jaya Bachchan,Amitabh Bachchan,Usha Kiran
Ram Singh Charlie,-2020,104 min,Drama,8,"1,272",Nitin Kakkar,Kumud Mishra,Divya Dutta,Salima Raza
Jayantabhai Ki Luv Story,-2013,130 min,"Action, Comedy, Romance",5.3,"1,270",Vinnil Markan,Vivek Oberoi,Neha Sharma,Rahul Singh
Love,-1991,152 min,"Drama, Musical, Romance",5.9,"1,267",Suresh Krishna,Salman Khan,Arun Bakshi,Rita Bhaduri
Phoonk,-2008,110 min,"Drama, Horror, Mystery",3.9,"1,265",Ram Gopal Varma,Sudeep,Amruta Khanvilkar,Ahsaas Channa
Prassthanam,-2019,141 min,"Action, Drama",5.9,"1,265",Deva Katta,Sanjay Dutt,Jackie Shroff,Ali Fazal
Aflatoon,-1997,153 min,"Action, Comedy, Crime",4.5,"1,261",Guddu Dhanoa,Akshay Kumar,Urmila Matondkar,Anupam Kher
Aashayein,-2010,120 min,Drama,7.1,"1,259",Nagesh Kukunoor,John Abraham,Anaitha Nair,Girish Karnad
Bhonsle,-2018,128 min,Drama,7,"1,257",Devashish Makhija,Manoj Bajpayee,Santosh Juvekar,Ipshita Chakraborty Singh
Swarg,-1990,160 min,Drama,6.7,"1,255",David Dhawan,Rajesh Khanna,Govinda,Madhavi
Happy Phirr Bhag Jayegi,-2018,136 min,Comedy,4.5,"1,251",Mudassar Aziz,Sonakshi Sinha,Diana Penty,Jimmy Sheirgill
Khelein Hum Jee Jaan Sey,-2010,168 min,"Action, Drama, History",5.8,"1,249",Ashutosh Gowariker,Abhishek Bachchan,Deepika Padukone,Sikandar Kher
Mirch Masala,-1986,128 min,"Drama, Thriller",7.7,"1,248",Ketan Mehta,Smita Patil,Naseeruddin Shah,Om Puri
Eeb Allay Ooo!,-2019,98 min,"Comedy, Drama",7.4,"1,247",Prateek Vats,Shardul Bharadwaj,Mahender Nath,Nutan Sinha
Waqt,-1965,178 min,"Drama, Romance",7.8,"1,244",Yash Chopra,Sunil Dutt,Sadhana,Raaj Kumar
Jail,-2009,131 min,Drama,6.2,"1,242",Madhur Bhandarkar,Manoj Bajpayee,Atul Kulkarni,Neil Nitin Mukesh
Aamdani Atthanni Kharcha Rupaiya,-2001,150 min,"Comedy, Drama, Family",4.8,"1,238",K. Raghavendra Rao,A.S. Ravindra Babu,Govinda,Juhi Chawla
Karzzzz,-2008,142 min,"Action, Drama, Musical",2.1,"1,238",Satish Kaushik,Himesh Reshammiya,Urmila Matondkar,Shweta Kumar
16 December,-2002,158 min,"Action, Thriller",6.9,"1,235",Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
Pudhiya Geethai,-2003,140 min,"Action, Drama, Romance",4.7,"1,229",Jagan,Joseph Vijay,Meera Jasmine,Ameesha Patel
Samrat & Co.,-2014,125 min,"Mystery, Thriller",6.2,"1,227",Kaushik Ghatak,Rajeev Khandelwal,Madalsa Sharma,Gopal Datt
Gone Kesh,-2019,110 min,"Comedy, Drama",7,"1,222",Qasim Khallow,Shweta Tripathi,Alisha,Deepika Amin
Khamoshiyan,-2015,122 min,"Drama, Horror, Romance",4,"1,220",Karan Darra,Gurmeet Choudhary,Ali Fazal,Sapna Pabbi
Vishwatma,-1992,174 min,"Action, Drama, Thriller",6.5,"1,215",Rajiv Rai,Naseeruddin Shah,Sunny Deol,Chunky Panday
Ajooba,-1991,178 min,"Action, Adventure, Comedy",5.3,"1,214",Shashi Kapoor,Gennadiy Vasilev,Amitabh Bachchan,Dimple Kapadia
Chain Kulii Ki Main Kulii,-2007,118 min,"Comedy, Drama, Family",5.6,"1,214",Karanjeet Saluja,Zain Khan,Rahul Bose,Kapil Dev
Nasha,-2013,122 min,"Drama, Thriller",3.2,"1,214",Amit Saxena,Poonam Pandey,Shivam Patil,Vishal Bhonsle
Yeh Majhdhaar,-1996,139 min,"Drama, Romance",4.9,"1,214",Esmayeel Shroff,Salman Khan,Manisha Koirala,Rahul Roy
Sanam Bewafa,-1991,160 min,"Drama, Romance",5.4,"1,212",Saawan Kumar Tak,Salman Khan,Chandni,Kanchan
Meri Jung,-1985,164 min,"Action, Drama",7.3,"1,210",Subhash Ghai,Anil Kapoor,Girish Karnad,Nutan
